samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
1184,7.5,663.75,-318.75,-337.5,311.25,528.75,615,660,236.66666666666666
1185,-120,502.5,-341.25,-483.75,86.25,281.25,386.25,468.75,86.66666666666667
1186,-187.5,360,-348.75,-570,-67.5,105,202.5,296.25,-23.333333333333332
1187,-202.5,255,-326.25,-558.75,-112.5,18.75,86.25,165,-75.0
1188,-187.5,187.5,-315,-528.75,-123.75,-26.25,11.25,67.5,-101.66666666666667
1189,-187.5,138.75,-326.25,-510,-131.25,-52.5,-22.5,22.5,-118.75
1190,-172.5,138.75,-315,-453.75,-105,-33.75,-11.25,26.25,-102.91666666666667
1191,-153.75,142.5,-300,-405,-93.75,-30,-7.5,33.75,-90.41666666666667
1192,-146.25,112.5,-292.5,-382.5,-123.75,-63.75,-30,18.75,-100.83333333333333
1193,-135,86.25,-277.5,-352.5,-142.5,-90,-48.75,3.75,-106.25
1194,-116.25,78.75,-258.75,-315,-135,-93.75,-52.5,0,-99.16666666666667
1195,-71.25,105,-236.25,-266.25,-108.75,-75,-41.25,11.25,-75.83333333333333
1196,-30,142.5,-198.75,-202.5,-60,-41.25,-15,33.75,-41.25
1197,-7.5,165,-157.5,-131.25,-11.25,-3.75,11.25,56.25,-8.75
1198,18.75,180,-116.25,-78.75,22.5,15,26.25,63.75,14.583333333333334
1199,18.75,153.75,-97.5,-67.5,22.5,7.5,7.5,45,10.0
1200,7.5,120,-86.25,-71.25,11.25,-11.25,-7.5,22.5,-1.6666666666666667
1201,22.5,135,-56.25,-48.75,26.25,0,0,26.25,11.666666666666666
1202,37.5,153.75,-33.75,-22.5,41.25,11.25,7.5,33.75,25.416666666666668
1203,18.75,131.25,-33.75,-26.25,30,-3.75,-7.5,22.5,14.583333333333334
1204,7.5,120,-30,-30,18.75,-15,-18.75,11.25,7.083333333333333
1205,22.5,131.25,-26.25,-22.5,18.75,-18.75,-22.5,7.5,10.0
1206,30,135,-26.25,-22.5,11.25,-26.25,-30,0,7.916666666666667
1207,26.25,123.75,-30,-37.5,-3.75,-41.25,-45,-15,-2.5
1208,30,123.75,-30,-41.25,-11.25,-45,-48.75,-15,-4.166666666666667
1209,48.75,138.75,-26.25,-33.75,-7.5,-41.25,-41.25,-11.25,2.9166666666666665
1210,48.75,127.5,-22.5,-30,-3.75,-41.25,-45,-11.25,2.5
1211,30,90,-33.75,-41.25,-18.75,-56.25,-60,-26.25,-12.916666666666666
1212,11.25,67.5,-33.75,-52.5,-30,-63.75,-67.5,-37.5,-22.916666666666668
1213,-7.5,56.25,-33.75,-52.5,-30,-63.75,-67.5,-37.5,-26.25
1214,-7.5,52.5,-33.75,-52.5,-33.75,-67.5,-67.5,-37.5,-27.5
1215,3.75,67.5,-33.75,-48.75,-30,-67.5,-67.5,-37.5,-23.75
1216,22.5,93.75,-26.25,-41.25,-22.5,-63.75,-63.75,-33.75,-15.0
1217,33.75,108.75,-18.75,-33.75,-22.5,-63.75,-63.75,-30,-10.0
1218,26.25,93.75,-30,-45,-37.5,-75,-78.75,-45,-21.25
1219,-7.5,60,-45,-60,-52.5,-90,-90,-56.25,-37.916666666666664
1220,-37.5,56.25,-33.75,-48.75,-41.25,-78.75,-78.75,-45,-34.166666666666664
1221,-18.75,71.25,-26.25,-41.25,-33.75,-67.5,-71.25,-33.75,-24.583333333333332
1222,-3.75,60,-37.5,-52.5,-41.25,-75,-78.75,-45,-30.416666666666668
1223,0,60,-41.25,-56.25,-45,-78.75,-78.75,-45,-31.666666666666668
1224,41.25,93.75,-26.25,-45,-33.75,-63.75,-63.75,-33.75,-14.583333333333334
1225,67.5,112.5,-18.75,-30,-18.75,-56.25,-56.25,-22.5,-2.5
1226,52.5,105,-18.75,-26.25,-15,-52.5,-52.5,-22.5,-3.3333333333333335
1227,41.25,101.25,-18.75,-26.25,-15,-52.5,-56.25,-22.5,-5.416666666666667
1228,41.25,112.5,-11.25,-15,-7.5,-45,-48.75,-15,1.25
1229,56.25,131.25,-11.25,-7.5,-3.75,-41.25,-41.25,-7.5,8.333333333333334
1230,56.25,116.25,-26.25,-22.5,-15,-52.5,-52.5,-18.75,-1.6666666666666667
1231,48.75,97.5,-30,-30,-18.75,-56.25,-52.5,-22.5,-7.083333333333333
