samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
288,-656.25,-153.75,168.75,176.25,206.25,56.25,116.25,120,3.75
289,-641.25,-176.25,153.75,153.75,183.75,41.25,101.25,105,-8.75
290,-622.5,-180,142.5,142.5,168.75,30,90,97.5,-14.583333333333334
291,-603.75,-153.75,157.5,157.5,187.5,41.25,97.5,105,-1.25
292,-588.75,-135,176.25,168.75,198.75,52.5,108.75,112.5,10.416666666666666
293,-607.5,-150,165,157.5,187.5,45,105,108.75,1.25
294,-637.5,-172.5,165,150,180,37.5,97.5,105,-8.333333333333334
295,-656.25,-180,172.5,146.25,176.25,37.5,97.5,101.25,-11.666666666666666
296,-667.5,-183.75,172.5,150,183.75,37.5,93.75,93.75,-13.333333333333334
297,-656.25,-187.5,168.75,142.5,176.25,22.5,78.75,78.75,-19.583333333333332
298,-656.25,-187.5,161.25,131.25,161.25,11.25,67.5,67.5,-27.083333333333332
299,-660,-168.75,161.25,138.75,165,15,71.25,71.25,-22.916666666666668
300,-633.75,-138.75,172.5,146.25,172.5,22.5,78.75,78.75,-11.25
301,-615,-157.5,168.75,138.75,161.25,11.25,63.75,71.25,-17.5
302,-648.75,-210,153.75,120,138.75,-7.5,48.75,56.25,-38.75
303,-693.75,-236.25,161.25,120,146.25,0,56.25,60,-42.916666666666664
304,-705,-255,168.75,131.25,157.5,11.25,67.5,71.25,-39.166666666666664
305,-675,-255,161.25,116.25,142.5,-3.75,52.5,56.25,-45.0
306,-656.25,-240,153.75,105,127.5,-15,45,48.75,-47.916666666666664
307,-686.25,-251.25,157.5,101.25,131.25,-15,45,48.75,-52.083333333333336
308,-708.75,-273.75,153.75,97.5,123.75,-22.5,37.5,37.5,-61.666666666666664
309,-708.75,-273.75,150,93.75,112.5,-26.25,30,30,-65.83333333333333
310,-720,-251.25,153.75,97.5,120,-22.5,33.75,41.25,-60.833333333333336
311,-716.25,-232.5,157.5,105,131.25,-15,41.25,45,-53.75
312,-690,-225,157.5,108.75,135,-15,41.25,45,-49.166666666666664
313,-697.5,-240,157.5,108.75,127.5,-18.75,37.5,45,-53.333333333333336
314,-705,-251.25,150,101.25,120,-26.25,37.5,45,-58.75
315,-678.75,-240,142.5,101.25,123.75,-26.25,33.75,41.25,-55.833333333333336
316,-667.5,-236.25,150,108.75,135,-18.75,41.25,48.75,-48.75
317,-667.5,-258.75,153.75,105,131.25,-18.75,41.25,48.75,-51.666666666666664
318,-663.75,-270,142.5,97.5,120,-26.25,33.75,41.25,-58.333333333333336
319,-675,-255,131.25,82.5,108.75,-37.5,22.5,30,-65.83333333333333
320,-708.75,-258.75,138.75,82.5,108.75,-37.5,22.5,30,-69.16666666666667
321,-723.75,-262.5,146.25,90,116.25,-33.75,26.25,30,-67.91666666666667
322,-708.75,-251.25,157.5,97.5,120,-26.25,33.75,37.5,-60.0
323,-705,-251.25,161.25,108.75,127.5,-22.5,37.5,41.25,-55.833333333333336
324,-712.5,-251.25,165,116.25,138.75,-15,45,48.75,-51.666666666666664
325,-690,-240,165,123.75,142.5,-11.25,48.75,52.5,-45.416666666666664
326,-678.75,-243.75,161.25,116.25,135,-15,48.75,52.5,-47.083333333333336
327,-690,-258.75,157.5,112.5,131.25,-18.75,41.25,45,-53.333333333333336
328,-678.75,-273.75,161.25,112.5,127.5,-33.75,26.25,30,-58.75
329,-667.5,-296.25,176.25,112.5,108.75,-56.25,0,3.75,-68.75
330,-697.5,-315,217.5,138.75,101.25,-75,-22.5,-22.5,-75.0
331,-746.25,-322.5,262.5,176.25,101.25,-101.25,-56.25,-60,-82.91666666666667
332,-738.75,-352.5,303.75,198.75,82.5,-138.75,-105,-105,-95.0
333,-705,-397.5,333.75,213.75,63.75,-176.25,-146.25,-146.25,-106.66666666666667
334,-697.5,-393.75,375,262.5,86.25,-168.75,-138.75,-138.75,-90.41666666666667
335,-686.25,-337.5,423.75,337.5,146.25,-123.75,-101.25,-105,-49.583333333333336
336,-637.5,-258.75,453.75,405,195,-86.25,-67.5,-75,-7.916666666666667
337,-596.25,-202.5,472.5,468.75,255,-33.75,-22.5,-33.75,34.166666666666664
338,-570,-183.75,483.75,525,315,26.25,37.5,22.5,72.91666666666667
339,-506.25,-146.25,495,570,375,93.75,105,86.25,119.16666666666667
340,-420,-41.25,495,611.25,442.5,180,195,176.25,182.08333333333334
341,-360,86.25,491.25,675,532.5,285,303.75,277.5,254.58333333333334
342,-318.75,191.25,487.5,738.75,633.75,401.25,420,390,327.0833333333333
343,-232.5,318.75,461.25,753.75,712.5,521.25,551.25,513.75,400.0
344,-131.25,480,405,742.5,787.5,648.75,693.75,656.25,475.8333333333333
345,-112.5,652.5,382.5,795,918.75,813.75,866.25,825,571.25
346,-108.75,832.5,360,847.5,1046.25,978.75,1042.5,993.75,665.8333333333334
347,-52.5,1053.75,288.75,828.75,1136.25,1143.75,1233.75,1192.5,758.3333333333334
348,-7.5,1252.5,180,795,1226.25,1312.5,1436.25,1402.5,844.1666666666666
349,18.75,1338.75,52.5,738.75,1297.5,1440,1582.5,1545,890.4166666666666
350,22.5,1372.5,-52.5,633.75,1327.5,1537.5,1687.5,1638.75,907.5
